,0,1,2,3,4,5,6,7,8,9,10,11
5068,1674051600000,21563.10000000,21650.00000000,21428.26000000,21478.34000000,5352.87310000,1674051899999,115280549.27806480,87245,2651.77887000,57123076.16300550,0
5069,1674051900000,21478.33000000,21508.57000000,21341.84000000,21400.95000000,3307.57793000,1674052199999,70906963.14737970,61316,1581.25628000,33899595.91239490,0
5070,1674052200000,21399.29000000,21461.75000000,21373.03000000,21409.87000000,3091.52056000,1674052499999,66201905.35371710,54781,1467.38264000,31424881.17127790,0
5071,1674052500000,21408.94000000,21418.93000000,21314.12000000,21351.68000000,2844.34245000,1674052799999,60763970.87073540,50453,1413.73194000,30204391.17770820,0
5072,1674052800000,21351.68000000,21404.48000000,21332.87000000,21354.44000000,2373.12484000,1674053099999,50705679.53573410,41515,1211.77352000,25894087.71271730,0
5073,1674053100000,21353.00000000,21432.97000000,21353.00000000,21417.64000000,1866.56404000,1674053399999,39928897.10265840,36355,1031.90332000,22074219.35094180,0
5074,1674053400000,21417.64000000,21450.13000000,21405.78000000,21437.88000000,1240.29526000,1674053699999,26580044.07242780,31247,615.56728000,13192925.40369060,0
5075,1674053700000,21436.38000000,21445.22000000,21393.96000000,21424.30000000,1089.23643000,1674053999999,23328262.85437570,27748,511.35030000,10951810.31376710,0
5076,1674054000000,21424.30000000,21467.70000000,21414.27000000,21448.37000000,1593.22784000,1674054299999,34166223.08018420,36625,819.39717000,17572045.00760420,0
5077,1674054300000,21448.37000000,21560.00000000,21444.29000000,21499.33000000,2367.11373000,1674054599999,50915459.51454980,46138,1251.10816000,26909896.42359910,0
5078,1674054600000,21500.79000000,21509.75000000,21467.63000000,21473.15000000,1225.97531000,1674054899999,26344869.77648520,28489,605.74016000,13017051.13320090,0
5079,1674054900000,21472.08000000,21507.16000000,21422.75000000,21429.70000000,1748.25870000,1674055199999,37538879.69341640,34374,844.53153000,18135802.63009690,0
5080,1674055200000,21428.58000000,21457.28000000,21407.25000000,21434.63000000,1496.02091000,1674055499999,32066274.84445360,29956,694.54331000,14887305.53123300,0
5081,1674055500000,21434.63000000,21438.45000000,21404.57000000,21432.14000000,1225.80553000,1674055799999,26257414.54721440,27569,583.12821000,12491146.21941370,0
